q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
6,1,4,1,E,1.63,51.26,2,2,4,3,4
4,1,2,1,,1.6,55.34,,2,3,4,3
3,2,2,,,1.75,56.7,1,3,8,3,4
3,1,2,2,B  E,1.65,47.63,1,2,1,5,4
4,2,2,1,E,1.63,69.85,1,4,1,3,5
4,2,2,1,D,1.73,58.97,,2,4,5,3
4,1,2,1,A,1.68,77.57,1,4,1,3,1
,,,,,,,1,3,8,5,3
4,2,2,1,E,1.68,54.43,1,2,4,1,3
4,2,2,1,E,1.73,57.61,1,3,2,3,2
6,2,4,1,,1.8,83.01,2,3,7,4,4
6,1,4,1,,1.7,65.77,1,4,2,4,3
6,2,4,1,C,1.63,63.5,1,3,6,1,4
6,1,4,1,E,1.68,73.94,5,4,8,4,2
5,2,4,1,A,1.83,63.5,2,3,7,2,3
6,2,4,1,,1.7,74.84,1,4,6,3,6
5,1,4,1,,1.73,64.86,1,3,5,4,5
6,1,4,2,B,1.57,47.63,1,2,1,3,1
7,2,4,1,A,1.73,81.65,1,4,7,4,3
6,2,4,1,E,1.75,78.47,1,4,6,1,4
6,2,4,1,,,,,1,8,1,1
6,2,4,1,A,1.83,79.38,1,4,5,3,4
6,1,4,1,D,1.63,76.2,2,5,1,4,2
6,2,4,1,,1.75,78.47,1,4,8,1,3
6,1,4,1,,,,1,4,3,3,3
6,1,4,1,C,1.68,73.48,1,4,4,1,3
6,1,4,1,E,1.65,64.86,1,3,7,4,4
5,2,4,1,C E,1.85,72.58,1,3,6,2,5
6,2,4,2,B,1.7,74.84,,3,4,2,3
6,1,4,1,E,1.68,55.79,4,3,3,3,4
6,1,4,1,A,1.45,77.57,1,4,3,3,3
5,2,4,1,E,1.57,65.77,1,3,6,1,3
6,2,4,1,,1.73,56.7,1,2,6,2,2
6,2,4,1,E,,,1,5,1,1,3
6,2,4,1,,,,3,4,4,3,3
4,2,2,1,E,,,1,5,4,2,4
6,1,4,1,,1.5,44.45,1,3,1,5,5
4,2,2,2,B,,,1,4,6,3,3
4,2,2,1,,1.68,64.86,1,4,8,1,5
4,2,2,1,,,,1,3,1,2,1
4,1,2,1,,1.68,75.75,1,4,1,3,4
4,1,2,1,E,1.63,84.37,2,4,8,3,3
4,2,2,1,E,1.8,97.98,1,4,7,3,1
4,1,2,1,A C,1.47,54.43,1,2,8,1,6
3,1,2,1,,1.63,81.65,1,5,5,5,3
4,2,2,1,,1.8,66.68,1,1,8,5,1
3,2,2,1,A   E,,,1,2,4,1,6
4,1,2,1,,,,1,3,2,1,5
4,1,2,1,E,,,1,3,2,4,1
4,1,2,1,E,1.63,70.31,1,4,3,2,4
3,1,2,1,,,,5,3,3,4,
4,2,2,2,D,1.63,61.24,1,4,6,3,2
3,2,2,1,,1.7,64.41,1,3,8,3,1
5,2,2,1,E,1.75,77.11,1,4,6,4,4
4,2,2,1,C,1.78,99.79,1,4,6,1,3
4,2,2,2,D,1.63,59.88,,3,8,3,4
4,1,2,1,D,,,1,3,5,3,5
6,1,4,1,E,1.63,111.13,1,5,1,3,3
7,2,4,2,B,1.75,61.69,2,3,4,2,2
5,2,4,1,A,,,1,2,4,1,4
6,2,4,1,E,1.83,74.84,3,3,5,2,4
7,1,4,1,A,1.55,70.76,1,1,3,4,5
6,1,4,1,,1.5,74.84,1,3,6,3,5
5,1,4,,D,1.6,57.15,1,3,3,3,1
6,1,4,1,E,1.55,49.9,1,3,1,3,4
6,1,4,1,,1.6,61.24,2,3,6,5,1
6,1,4,1,E,1.55,54.43,2,5,6,3,2
6,2,4,1,A,1.73,81.65,1,4,8,3,4
6,2,4,1,,1.7,113.4,1,4,5,1,4
6,1,4,1,E,1.52,44.45,2,3,8,3,3
5,2,2,1,,,,1,3,4,1,1
7,2,4,2,B,1.7,68.04,3,3,1,4,2
6,1,4,1,E,1.57,49.9,1,2,2,3,4
6,2,4,1,E,1.68,49.9,3,2,6,3,3
6,1,4,1,E,1.57,60.78,1,3,5,1,6
6,1,4,2,B,1.55,49.44,1,3,4,4,5
6,2,4,1,E,1.73,77.11,,3,8,5,1
6,2,4,2,B,1.7,68.04,1,4,2,1,2
6,1,4,1,A   E,1.6,52.16,2,3,8,4,4
6,1,4,1,,1.7,61.24,1,3,5,3,2
5,1,4,1,E,,,3,3,2,3,5
6,2,4,1,D,1.73,95.71,3,4,4,3,4
3,,1,,C,,,1,5,1,5,1
